idOperation,operationName,operationDuration,successors,resourceType,SP,requiredResourceUnits,consumption,idTurnaround,SIBT/TIBT,SOBT/TOBT,idStand
156,catering,20,161,3,4,1,50,18,25,77,132
157,fuelling,13,161,4,3,1,60,18,25,77,132
158,change water,9,162,5,5,1,40,18,25,77,132
159,toilet services,19,162,6,3,1,40,18,25,77,132
160,loading baggage,18,162,1,5,1,0,18,25,77,132
161,boarding,16,162,0,5,0,0,18,25,77,132
162,push-back,4,,7,3,1,0,18,25,77,132
163,deboarding,14,"165,166,167",0,5,0,0,19,25,51,109
164,unloading baggage,24,170,1,5,1,0,19,25,51,109
165,cleaning cabin,18,171,2,5,1,0,19,25,51,109
166,catering,23,171,3,4,1,70,19,25,51,109
167,fuelling,12,171,4,4,1,70,19,25,51,109
168,change water,9,172,5,3,1,80,19,25,51,109
169,toilet services,7,172,6,5,1,20,19,25,51,109
170,loading baggage,19,172,1,5,1,0,19,25,51,109
171,boarding,21,172,0,5,0,0,19,25,51,109
172,push-back,4,,7,4,1,0,19,25,51,109
173,deboarding,13,"175,176,177",0,5,0,0,20,30,56,155
174,unloading baggage,19,180,1,5,1,0,20,30,56,155
175,cleaning cabin,16,181,2,3,1,0,20,30,56,155
176,catering,20,181,3,3,1,50,20,30,56,155
177,fuelling,15,181,4,1,1,70,20,30,56,155
178,change water,4,182,5,5,1,20,20,30,56,155
179,toilet services,11,182,6,4,1,30,20,30,56,155
180,loading baggage,12,182,1,5,1,0,20,30,56,155
181,boarding,19,182,0,5,0,0,20,30,56,155
182,push-back,4,,7,3,1,0,20,30,56,155
183,deboarding,7,"185,186,187",0,5,0,0,21,35,61,46
184,unloading baggage,21,190,1,5,1,0,21,35,61,46
185,cleaning cabin,17,191,2,5,1,0,21,35,61,46
186,catering,19,191,3,5,1,50,21,35,61,46
187,fuelling,16,191,4,5,1,70,21,35,61,46
188,change water,10,192,5,3,1,60,21,35,61,46
189,toilet services,11,192,6,4,1,30,21,35,61,46
190,loading baggage,12,192,1,5,1,0,21,35,61,46
191,boarding,25,192,0,5,0,0,21,35,61,46
192,push-back,4,,7,5,1,0,21,35,61,46
193,deboarding,7,"195,196,197",0,4,0,0,22,35,61,161
194,unloading baggage,18,200,1,4,1,0,22,35,61,161
195,cleaning cabin,17,201,2,4,1,0,22,35,61,161
196,catering,19,201,3,4,1,50,22,35,61,161
197,fuelling,11,201,4,5,1,30,22,35,61,161
198,change water,8,202,5,4,1,60,22,35,61,161
199,toilet services,12,202,6,2,1,30,22,35,61,161
200,loading baggage,15,202,1,4,1,0,22,35,61,161
201,boarding,18,202,0,4,0,0,22,35,61,161
202,push-back,4,,7,4,1,0,22,35,61,161
203,deboarding,13,"205,206,207",0,4,0,0,23,35,87,150
204,unloading baggage,9,210,1,4,1,0,23,35,87,150
205,cleaning cabin,14,211,2,2,1,0,23,35,87,150
206,catering,20,211,3,4,1,50,23,35,87,150
207,fuelling,14,211,4,4,1,60,23,35,87,150
208,change water,8,212,5,5,1,60,23,35,87,150
209,toilet services,18,212,6,3,1,40,23,35,87,150
210,loading baggage,19,212,1,4,1,0,23,35,87,150
211,boarding,16,212,0,4,0,0,23,35,87,150
212,push-back,4,,7,5,1,0,23,35,87,150
213,deboarding,12,"215,216,217",0,5,0,0,24,35,87,129
214,unloading baggage,8,220,1,5,1,0,24,35,87,129
215,cleaning cabin,17,221,2,4,1,0,24,35,87,129
216,catering,21,221,3,5,1,30,24,35,87,129
217,fuelling,12,221,4,5,1,60,24,35,87,129
218,change water,7,222,5,4,1,40,24,35,87,129
219,toilet services,18,222,6,5,1,40,24,35,87,129
220,loading baggage,16,222,1,5,1,0,24,35,87,129
221,boarding,16,222,0,5,0,0,24,35,87,129
222,push-back,4,,7,3,1,0,24,35,87,129
223,deboarding,6,"225,226,227",0,4,0,0,25,35,63,174
224,unloading baggage,7,228,1,4,1,0,25,35,63,174
225,cleaning cabin,8,229,2,5,1,0,25,35,63,174
226,catering,9,229,3,4,1,30,25,35,63,174
227,fuelling,8,229,4,3,1,30,25,35,63,174
228,loading baggage,8,230,1,4,1,0,25,35,63,174
229,boarding,8,230,0,4,0,0,25,35,63,174
230,push-back,4,,7,4,1,0,25,35,63,174
231,deboarding,12,"233,234,235",0,4,0,0,26,40,66,179
232,unloading baggage,22,238,1,4,1,0,26,40,66,179
233,cleaning cabin,16,239,2,4,1,0,26,40,66,179
234,catering,18,239,3,5,1,50,26,40,66,179
235,fuelling,14,239,4,2,1,70,26,40,66,179
236,change water,3,240,5,5,1,20,26,40,66,179
237,toilet services,12,240,6,2,1,30,26,40,66,179
238,loading baggage,14,240,1,4,1,0,26,40,66,179
239,boarding,23,240,0,4,0,0,26,40,66,179
240,push-back,4,,7,4,1,0,26,40,66,179
241,deboarding,8,"243,244,245",0,4,0,0,27,40,68,151
242,unloading baggage,9,246,1,4,1,0,27,40,68,151
243,cleaning cabin,8,247,2,3,1,0,27,40,68,151
244,catering,8,247,3,5,1,30,27,40,68,151
245,fuelling,8,247,4,5,1,30,27,40,68,151
246,loading baggage,9,248,1,4,1,0,27,40,68,151
247,boarding,8,248,0,4,0,0,27,40,68,151
248,push-back,4,,7,5,1,0,27,40,68,151
249,deboarding,14,"251,252,253",0,5,0,0,28,50,76,40
250,unloading baggage,22,256,1,5,1,0,28,50,76,40
251,cleaning cabin,12,257,2,5,1,0,28,50,76,40
252,catering,23,257,3,5,1,70,28,50,76,40
253,fuelling,18,257,4,4,1,90,28,50,76,40
254,change water,7,258,5,3,1,40,28,50,76,40
255,toilet services,9,258,6,5,1,20,28,50,76,40
256,loading baggage,18,258,1,5,1,0,28,50,76,40
257,boarding,20,258,0,5,0,0,28,50,76,40
258,push-back,4,,7,2,1,0,28,50,76,40
259,deboarding,11,"261,262,263",0,5,0,0,29,50,102,131
260,unloading baggage,8,266,1,5,1,0,29,50,102,131
261,cleaning cabin,12,267,2,2,1,0,29,50,102,131
262,catering,19,267,3,4,1,50,29,50,102,131
263,fuelling,16,267,4,1,1,70,29,50,102,131
264,change water,6,268,5,4,1,20,29,50,102,131
265,toilet services,20,268,6,4,1,40,29,50,102,131
266,loading baggage,16,268,1,5,1,0,29,50,102,131
267,boarding,15,268,0,5,0,0,29,50,102,131
268,push-back,4,,7,4,1,0,29,50,102,131
269,deboarding,7,"271,272,273",0,3,0,0,30,55,84,48
270,unloading baggage,11,274,1,3,1,0,30,55,84,48
271,cleaning cabin,13,275,2,5,1,0,30,55,84,48
272,catering,12,275,3,5,1,30,30,55,84,48
273,fuelling,7,275,4,5,1,30,30,55,84,48
274,loading baggage,13,276,1,3,1,0,30,55,84,48
275,boarding,10,276,0,3,0,0,30,55,84,48
276,push-back,4,,7,3,1,0,30,55,84,48
277,deboarding,7,"279,280,281",0,3,0,0,31,55,84,27
278,unloading baggage,10,282,1,3,1,0,31,55,84,27
279,cleaning cabin,13,283,2,5,1,0,31,55,84,27
280,catering,11,283,3,2,1,30,31,55,84,27
281,fuelling,7,283,4,1,1,30,31,55,84,27
282,loading baggage,12,284,1,3,1,0,31,55,84,27
283,boarding,10,284,0,3,0,0,31,55,84,27
284,push-back,4,,7,5,1,0,31,55,84,27
285,deboarding,13,"287,288,289",0,4,0,0,32,55,107,250
286,unloading baggage,12,292,1,4,1,0,32,55,107,250
287,cleaning cabin,13,293,2,2,1,0,32,55,107,250
288,catering,18,293,3,5,1,50,32,55,107,250
289,fuelling,11,293,4,4,1,30,32,55,107,250
290,change water,11,294,5,4,1,60,32,55,107,250
291,toilet services,19,294,6,5,1,40,32,55,107,250
292,loading baggage,15,294,1,4,1,0,32,55,107,250
293,boarding,17,294,0,4,0,0,32,55,107,250
294,push-back,4,,7,5,1,0,32,55,107,250
295,deboarding,16,"297,298,299",0,4,0,0,33,55,107,138
296,unloading baggage,9,302,1,4,1,0,33,55,107,138
297,cleaning cabin,16,303,2,5,1,0,33,55,107,138
298,catering,18,303,3,5,1,50,33,55,107,138
299,fuelling,14,303,4,4,1,60,33,55,107,138
300,change water,7,304,5,5,1,40,33,55,107,138
301,toilet services,18,304,6,2,1,40,33,55,107,138
302,loading baggage,16,304,1,4,1,0,33,55,107,138
303,boarding,14,304,0,4,0,0,33,55,107,138
304,push-back,4,,7,4,1,0,33,55,107,138
305,deboarding,7,"307,308,309",0,5,0,0,34,70,98,204
306,unloading baggage,9,310,1,5,1,0,34,70,98,204
307,cleaning cabin,8,311,2,5,1,0,34,70,98,204
308,catering,8,311,3,5,1,30,34,70,98,204
309,fuelling,7,311,4,4,1,30,34,70,98,204
310,loading baggage,10,312,1,5,1,0,34,70,98,204
311,boarding,8,312,0,5,0,0,34,70,98,204
312,push-back,4,,7,4,1,0,34,70,98,204
313,deboarding,6,"315,316,317",0,3,0,0,35,70,98,56
314,unloading baggage,8,318,1,3,1,0,35,70,98,56
315,cleaning cabin,9,319,2,5,1,0,35,70,98,56
316,catering,8,319,3,3,1,30,35,70,98,56
317,fuelling,7,319,4,4,1,30,35,70,98,56
318,loading baggage,10,320,1,3,1,0,35,70,98,56
319,boarding,9,320,0,3,0,0,35,70,98,56
320,push-back,4,,7,5,1,0,35,70,98,56
321,deboarding,9,"323,324,325",0,4,0,0,36,75,104,23
322,unloading baggage,10,326,1,4,1,0,36,75,104,23
323,cleaning cabin,11,327,2,4,1,0,36,75,104,23
324,catering,11,327,3,4,1,30,36,75,104,23
325,fuelling,8,327,4,4,1,30,36,75,104,23
326,loading baggage,13,328,1,4,1,0,36,75,104,23
327,boarding,9,328,0,4,0,0,36,75,104,23
328,push-back,4,,7,5,1,0,36,75,104,23
329,deboarding,15,"331,332,333",0,2,0,0,37,75,127,235
330,unloading baggage,8,336,1,2,1,0,37,75,127,235
331,cleaning cabin,15,337,2,3,1,0,37,75,127,235
332,catering,18,337,3,3,1,50,37,75,127,235
333,fuelling,12,337,4,5,1,60,37,75,127,235
334,change water,10,338,5,2,1,60,37,75,127,235
335,toilet services,15,338,6,4,1,30,37,75,127,235
336,loading baggage,18,338,1,2,1,0,37,75,127,235
337,boarding,15,338,0,2,0,0,37,75,127,235
338,push-back,4,,7,5,1,0,37,75,127,235
339,deboarding,9,"341,342,343",0,5,0,0,38,80,109,221
340,unloading baggage,10,344,1,5,1,0,38,80,109,221
341,cleaning cabin,12,345,2,5,1,0,38,80,109,221
342,catering,12,345,3,5,1,30,38,80,109,221
343,fuelling,9,345,4,5,1,30,38,80,109,221
344,loading baggage,13,346,1,5,1,0,38,80,109,221
345,boarding,10,346,0,5,0,0,38,80,109,221
346,push-back,4,,7,3,1,0,38,80,109,221
347,deboarding,11,"349,350,351",0,2,0,0,39,80,132,137
348,unloading baggage,13,354,1,2,1,0,39,80,132,137
349,cleaning cabin,13,355,2,4,1,0,39,80,132,137
350,catering,23,355,3,5,1,70,39,80,132,137
351,fuelling,15,355,4,5,1,70,39,80,132,137
352,change water,6,356,5,4,1,20,39,80,132,137
353,toilet services,19,356,6,4,1,40,39,80,132,137
354,loading baggage,21,356,1,2,1,0,39,80,132,137
355,boarding,11,356,0,2,0,0,39,80,132,137
356,push-back,4,,7,5,1,0,39,80,132,137
357,deboarding,7,"359,360,361",0,3,0,0,40,80,108,60
358,unloading baggage,8,362,1,3,1,0,40,80,108,60
359,cleaning cabin,7,363,2,4,1,0,40,80,108,60
360,catering,9,363,3,3,1,30,40,80,108,60
361,fuelling,9,363,4,5,1,30,40,80,108,60
362,loading baggage,9,364,1,3,1,0,40,80,108,60
363,boarding,7,364,0,3,0,0,40,80,108,60
364,push-back,4,,7,4,1,0,40,80,108,60
365,deboarding,7,"367,368,369",0,3,0,0,41,80,108,79
366,unloading baggage,8,370,1,3,1,0,41,80,108,79
367,cleaning cabin,7,371,2,4,1,0,41,80,108,79
368,catering,7,371,3,2,1,20,41,80,108,79
369,fuelling,8,371,4,1,1,30,41,80,108,79
370,loading baggage,8,372,1,3,1,0,41,80,108,79
371,boarding,8,372,0,3,0,0,41,80,108,79
372,push-back,4,,7,4,1,0,41,80,108,79
373,deboarding,8,"375,376,377",0,2,0,0,42,80,109,88
374,unloading baggage,10,378,1,2,1,0,42,80,109,88
375,cleaning cabin,12,379,2,4,1,0,42,80,109,88
376,catering,11,379,3,1,1,30,42,80,109,88
377,fuelling,9,379,4,5,1,30,42,80,109,88
378,loading baggage,11,380,1,2,1,0,42,80,109,88
379,boarding,10,380,0,2,0,0,42,80,109,88
380,push-back,4,,7,4,1,0,42,80,109,88
381,deboarding,11,"383,384,385",0,5,0,0,43,85,137,158
382,unloading baggage,12,388,1,5,1,0,43,85,137,158
383,cleaning cabin,16,389,2,2,1,0,43,85,137,158
384,catering,18,389,3,4,1,50,43,85,137,158
385,fuelling,16,389,4,5,1,70,43,85,137,158
386,change water,8,390,5,5,1,60,43,85,137,158
387,toilet services,16,390,6,1,1,30,43,85,137,158
388,loading baggage,16,390,1,5,1,0,43,85,137,158
389,boarding,13,390,0,5,0,0,43,85,137,158
390,push-back,4,,7,5,1,0,43,85,137,158
391,deboarding,10,"393,394,395",0,1,0,0,44,85,111,214
392,unloading baggage,20,398,1,1,1,0,44,85,111,214
393,cleaning cabin,18,399,2,4,1,0,44,85,111,214
394,catering,24,399,3,4,1,70,44,85,111,214
395,fuelling,13,399,4,1,1,70,44,85,111,214
396,change water,10,400,5,4,1,80,44,85,111,214
397,toilet services,13,400,6,4,1,30,44,85,111,214
398,loading baggage,13,400,1,1,1,0,44,85,111,214
399,boarding,19,400,0,1,0,0,44,85,111,214
400,push-back,4,,7,4,1,0,44,85,111,214
401,deboarding,7,"403,404,405",0,5,0,0,45,85,113,3
402,unloading baggage,7,406,1,5,1,0,45,85,113,3
403,cleaning cabin,8,407,2,4,1,0,45,85,113,3
404,catering,9,407,3,2,1,30,45,85,113,3
405,fuelling,9,407,4,4,1,30,45,85,113,3
406,loading baggage,8,408,1,5,1,0,45,85,113,3
407,boarding,9,408,0,5,0,0,45,85,113,3
408,push-back,4,,7,5,1,0,45,85,113,3
409,deboarding,8,"411,412,413",0,4,0,0,46,85,114,243
410,unloading baggage,9,414,1,4,1,0,46,85,114,243
411,cleaning cabin,12,415,2,5,1,0,46,85,114,243
412,catering,12,415,3,4,1,30,46,85,114,243
413,fuelling,7,415,4,5,1,30,46,85,114,243
414,loading baggage,12,416,1,4,1,0,46,85,114,243
415,boarding,10,416,0,4,0,0,46,85,114,243
416,push-back,4,,7,3,1,0,46,85,114,243
417,deboarding,9,"419,420,421",0,5,0,0,47,85,114,74
418,unloading baggage,11,422,1,5,1,0,47,85,114,74
419,cleaning cabin,12,423,2,4,1,0,47,85,114,74
420,catering,12,423,3,4,1,30,47,85,114,74
421,fuelling,8,423,4,5,1,30,47,85,114,74
422,loading baggage,11,424,1,5,1,0,47,85,114,74
423,boarding,10,424,0,5,0,0,47,85,114,74
424,push-back,4,,7,1,1,0,47,85,114,74
425,deboarding,7,"427,428,429",0,5,0,0,48,90,118,94
426,unloading baggage,7,430,1,5,1,0,48,90,118,94
427,cleaning cabin,9,431,2,4,1,0,48,90,118,94
428,catering,8,431,3,1,1,30,48,90,118,94
429,fuelling,7,431,4,3,1,30,48,90,118,94
430,loading baggage,9,432,1,5,1,0,48,90,118,94
431,boarding,7,432,0,5,0,0,48,90,118,94
432,push-back,4,,7,1,1,0,48,90,118,94
433,deboarding,15,"435,436,437",0,3,0,0,49,90,142,230
434,unloading baggage,14,440,1,3,1,0,49,90,142,230
435,cleaning cabin,15,441,2,2,1,0,49,90,142,230
436,catering,20,441,3,5,1,50,49,90,142,230
437,fuelling,16,441,4,4,1,70,49,90,142,230
438,change water,8,442,5,4,1,40,49,90,142,230
439,toilet services,16,442,6,5,1,30,49,90,142,230
440,loading baggage,18,442,1,3,1,0,49,90,142,230
441,boarding,15,442,0,3,0,0,49,90,142,230
442,push-back,4,,7,5,1,0,49,90,142,230
443,deboarding,8,"445,446,447",0,3,0,0,50,90,118,206
444,unloading baggage,7,448,1,3,1,0,50,90,118,206
445,cleaning cabin,8,449,2,3,1,0,50,90,118,206
446,catering,7,449,3,5,1,20,50,90,118,206
447,fuelling,9,449,4,1,1,30,50,90,118,206
448,loading baggage,10,450,1,3,1,0,50,90,118,206
449,boarding,8,450,0,3,0,0,50,90,118,206
450,push-back,4,,7,1,1,0,50,90,118,206
451,deboarding,12,"453,454,455",0,2,0,0,51,90,142,208
452,unloading baggage,9,458,1,2,1,0,51,90,142,208
453,cleaning cabin,11,459,2,5,1,0,51,90,142,208
454,catering,19,459,3,5,1,50,51,90,142,208
455,fuelling,15,459,4,5,1,70,51,90,142,208
456,change water,6,460,5,5,1,20,51,90,142,208
457,toilet services,19,460,6,3,1,40,51,90,142,208
458,loading baggage,20,460,1,2,1,0,51,90,142,208
459,boarding,14,460,0,2,0,0,51,90,142,208
460,push-back,4,,7,4,1,0,51,90,142,208
461,deboarding,14,"463,464,465",0,3,0,0,52,90,142,248
462,unloading baggage,9,468,1,3,1,0,52,90,142,248
463,cleaning cabin,12,469,2,5,1,0,52,90,142,248
464,catering,19,469,3,5,1,50,52,90,142,248
465,fuelling,15,469,4,5,1,70,52,90,142,248
466,change water,12,470,5,3,1,60,52,90,142,248
467,toilet services,18,470,6,4,1,40,52,90,142,248
468,loading baggage,19,470,1,3,1,0,52,90,142,248
469,boarding,15,470,0,3,0,0,52,90,142,248
470,push-back,4,,7,4,1,0,52,90,142,248
471,deboarding,13,"473,474,475",0,4,0,0,53,90,142,77
472,unloading baggage,13,478,1,4,1,0,53,90,142,77
473,cleaning cabin,11,479,2,3,1,0,53,90,142,77
474,catering,19,479,3,4,1,50,53,90,142,77
475,fuelling,12,479,4,5,1,30,53,90,142,77
476,change water,11,480,5,1,1,60,53,90,142,77
477,toilet services,15,480,6,5,1,30,53,90,142,77
478,loading baggage,17,480,1,4,1,0,53,90,142,77
479,boarding,12,480,0,4,0,0,53,90,142,77
480,push-back,4,,7,2,1,0,53,90,142,77
481,deboarding,9,"483,484,485",0,5,0,0,54,90,116,249
482,unloading baggage,20,488,1,5,1,0,54,90,116,249
483,cleaning cabin,14,489,2,5,1,0,54,90,116,249
484,catering,24,489,3,2,1,70,54,90,116,249
485,fuelling,14,489,4,3,1,70,54,90,116,249
486,change water,5,490,5,4,1,20,54,90,116,249
487,toilet services,14,490,6,5,1,30,54,90,116,249
488,loading baggage,12,490,1,5,1,0,54,90,116,249
489,boarding,19,490,0,5,0,0,54,90,116,249
490,push-back,4,,7,5,1,0,54,90,116,249
491,deboarding,15,"493,494,495",0,2,0,0,55,90,142,228
492,unloading baggage,9,498,1,2,1,0,55,90,142,228
493,cleaning cabin,13,499,2,5,1,0,55,90,142,228
494,catering,18,499,3,2,1,50,55,90,142,228
495,fuelling,11,499,4,4,1,30,55,90,142,228
496,change water,12,500,5,5,1,80,55,90,142,228
497,toilet services,16,500,6,5,1,30,55,90,142,228
498,loading baggage,20,500,1,2,1,0,55,90,142,228
499,boarding,16,500,0,2,0,0,55,90,142,228
500,push-back,4,,7,5,1,0,55,90,142,228
501,deboarding,10,"503,504,505",0,5,0,0,56,90,142,64
502,unloading baggage,13,508,1,5,1,0,56,90,142,64
